  _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag | 
       -0.10653 |      -0.04563 |       0.00500 |       0.00000 |       1.28762 |      -3.64401 |      55.38099 |      44.04972 |
       -0.21571 |      -0.02816 |       0.00126 |       0.00000 |       1.36948 |      -3.80817 |      55.47131 |      44.14005 |
       -1.00000 |      -0.02956 |      -0.00098 |       0.00000 |       1.07424 |      -3.46834 |      55.68401 |      44.35275 |
        1.00000 |      -0.02785 |      -0.00253 |       0.00000 |       0.51192 |      -3.31517 |      55.97865 |      44.64740 |
        1.00000 |       1.00000 |      -0.00327 |       0.00000 |       1.47771 |      -2.66635 |      56.26567 |      44.93442 |
       -1.00000 |       1.00000 |      -0.00271 |       0.00000 |       3.66981 |      -0.41662 |      56.53199 |      45.20074 |
       -0.28628 |      -0.99200 |      -0.00162 |       0.00000 |       4.22049 |       1.07287 |      56.79444 |      45.46320 |
       -1.00000 |       1.00000 |      -0.00197 |       0.00000 |       3.76112 |       0.33960 |      57.08836 |      45.75713 |
       -0.26039 |      -0.05367 |      -0.00021 |       0.00000 |       2.92211 |       2.35194 |      57.31580 |      45.98456 |
       -0.30707 |      -0.01739 |       0.00090 |       0.00000 |       2.54672 |       3.18403 |      57.48296 |      46.15173 |
       -0.34686 |      -0.01060 |       0.00185 |       0.00000 |       2.03969 |       3.34939 |      57.60083 |      46.26960 |
       -0.38199 |      -0.01931 |       0.00287 |      -0.00000 |       1.41376 |       3.58011 |      57.67151 |      46.34029 |
       -0.40124 |       1.00000 |       0.00800 |       0.03630 |       0.73031 |       4.89267 |      57.67972 |      46.34850 |
       -0.42604 |      -0.05764 |       0.00493 |      -0.00000 |       0.48161 |       6.98679 |      57.66283 |      46.33162 |
       -0.43093 |      -0.99200 |       0.00800 |       0.03630 |       0.27377 |       6.58535 |      57.64891 |      46.31770 |
       -0.40627 |      -0.07398 |       0.00841 |       0.03630 |      -0.13160 |       6.12649 |      57.62241 |      46.29120 |
       -0.31835 |      -0.09926 |       0.00447 |      -0.00000 |      -0.62199 |       6.07020 |      57.58635 |      46.25515 |
       -0.28548 |      -0.14720 |       0.00464 |       0.00000 |      -0.81479 |       6.89545 |      57.58280 |      46.25160 |
       -0.28072 |       1.00000 |       0.00489 |       0.00000 |      -0.43079 |       9.00517 |      57.64878 |      46.31759 |
       -0.18098 |      -0.99200 |       0.00326 |       0.00000 |      -0.02492 |       9.36098 |      57.75389 |      46.42270 |
       -0.08900 |      -0.11822 |       0.00102 |       0.00000 |       0.36278 |       7.19545 |      57.93293 |      46.60175 |
       -1.00000 |       1.00000 |       0.00070 |       0.00000 |       0.18594 |       7.79781 |      58.09415 |      46.76297 |
        0.08884 |       1.00000 |       0.00091 |       0.00000 |      -0.82029 |      10.64492 |      58.09595 |      46.76478 |
        0.02208 |      -0.99200 |      -0.00069 |       0.00000 |      -1.21381 |      11.39870 |      58.20895 |      46.87777 |
        1.00000 |      -0.99200 |      -0.00288 |       0.00000 |      -0.36304 |       9.02404 |      58.62085 |      47.28968 |
       -1.00000 |       1.00000 |      -0.00535 |       0.00000 |       1.35062 |       7.80669 |      59.23892 |      47.90775 |
       -1.00000 |       1.00000 |      -0.00366 |       0.00000 |       1.45768 |      10.30397 |      59.65255 |      48.32139 |
       -1.00000 |      -0.99200 |      -0.00314 |       0.00000 |       0.28599 |      11.49263 |      59.72801 |      48.39686 |
        1.00000 |      -0.99200 |      -0.00331 |       0.00000 |      -0.68717 |       8.91725 |      59.88867 |      48.55752 |
        1.00000 |       1.00000 |      -0.00352 |       0.00000 |       1.07828 |       7.80308 |      60.48914 |      49.15799 |
       -1.00000 |       1.00000 |      -0.00168 |       0.00000 |       3.13141 |      10.33863 |      61.11187 |      49.78073 |
       -1.00000 |      -0.99200 |      -0.00080 |       0.00000 |       3.21015 |      10.83733 |      61.37093 |      50.03979 |
       -1.00000 |      -0.99200 |      -0.00140 |       0.00000 |       1.73358 |       7.97801 |      61.39050 |      50.05937 |
        1.00000 |       1.00000 |       0.00042 |       0.00000 |       0.92156 |       7.42469 |      61.50615 |      50.17503 |
        1.00000 |       1.00000 |       0.00218 |       0.00000 |       2.59421 |       9.99979 |      61.90356 |      50.57244 |
       -1.00000 |      -0.99200 |       0.00197 |       0.00000 |       4.56040 |      10.67723 |      62.37246 |      51.04135 |
       -1.00000 |      -0.99200 |      -0.00093 |       0.00000 |       4.71897 |       8.04873 |      62.60454 |      51.27343 |
       -1.00000 |       1.00000 |      -0.00063 |       0.00000 |       3.35443 |       7.55688 |      62.68017 |      51.34907 |
        1.00000 |       0.43711 |       0.00051 |       0.00000 |       2.59317 |       9.51567 |      62.77752 |      51.44641 |
        1.00000 |      -0.99200 |      -0.00074 |       0.00000 |       4.40722 |       9.11869 |      63.28716 |      51.95606 |
       -1.00000 |      -0.99200 |      -0.00548 |       0.00000 |       6.47794 |       6.17296 |      63.93700 |      52.60591 |
